"","RT01","RT02","RT03","RT04","RT05","RT06","RT07","RT08","RT09","RT10","RT11","RT12","RT13","RT14","RT15","RT16","RT17","RT18","RT19","RT20","RT21","RT22","RT23","RT24","RT25","RT26","RT27","RT28","RT29","RT30","RT31","RT32","RT33","RT34","RT35","RT36","RT37","RT38","RT39","RT40","RT41","RT42","RT43","RT44","RT45","RT46","RT47","RT48"
"hsa-miR-145-5p",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-146a-5p",14,2,37,15,49,203,16,2,8,6,1,0,1,3,10,0,9,11,1,1,0,14,11,9,141,9,1,1,2,2,91,6,8,14,43,171,1,4,7,12,16,27,11,2,14,3,52,11
"hsa-miR-146b-5p",5,1,11,4,16,52,9,1,3,2,4,0,1,5,3,0,5,5,1,3,0,7,0,6,30,8,1,4,6,0,31,4,5,13,21,65,2,5,3,8,4,7,2,3,5,2,18,4
"hsa-miR-148a-3p",3,3,2,10,14,15,59,11,0,3,5,3,5,0,2,0,8,0,2,0,0,0,0,0,75,1,5,7,2,1,7,0,5,12,5,9,2,0,2,1,2,2,4,1,2,1,30,2
"hsa-miR-148b-3p",1,2,2,4,7,6,4,2,0,1,0,0,1,1,0,0,3,0,0,0,1,0,0,2,37,0,1,1,1,1,4,0,0,3,4,3,0,1,0,1,0,1,0,0,1,0,4,3
"hsa-miR-150-5p",12,447,54,224,96,124,56,383,12,102,132,32,92,8,11,0,167,4,88,8,6,10,10,5,88,11,20,85,48,29,14,5,26,97,13,12,12,2,40,45,18,6,4,31,14,7,7,25
"hsa-miR-151a-3p",18,23,29,47,42,120,49,24,10,23,13,4,10,6,14,0,37,10,10,6,4,12,8,11,381,4,22,4,16,3,36,4,24,40,31,78,4,3,17,20,10,13,17,8,26,8,45,8
"hsa-miR-151a-5p",4,14,12,49,13,45,33,23,4,11,11,3,9,3,8,0,36,2,9,4,2,9,2,8,323,11,16,10,22,10,29,0,25,35,31,44,6,2,9,13,3,9,7,8,26,2,46,10
"hsa-miR-15a-5p",3,2,0,1,1,2,32,5,0,3,4,4,1,0,1,0,5,1,3,0,1,1,2,1,17,1,5,9,4,3,2,0,6,4,2,1,3,0,3,6,0,1,1,2,2,1,19,7
"hsa-miR-16-2-3p",1,4,1,3,2,2,4,4,1,0,0,1,0,0,0,0,2,0,2,1,0,0,0,1,12,0,0,1,0,1,0,1,3,7,1,1,0,0,1,3,0,0,4,1,1,0,7,2
